1279895 1
1494768 1
1601537 2
2268844 1
2535767 1
2936151 1
3203074 5
6406148 1
10009606 2
10076337 1
10089684 1
10143068 1
10539447 1
10676913 4
10863759 1
12011528 1
12144989 1
12545372 1
13346142 5
13439565 1
13679795 1
14013449 2
14547294 1
14680755 4
15334717 1
15348063 1
15881909 1
16015369 2
16415755 1
16495831 1
16533201 1
17083061 1
17349985 1
17616907 1
18150753 1
18551138 1
18684598 7
19351906 2
19391944 1
19805674 1
20019212 3
20286135 1
20419598 1
20819981 1
21433905 1
22021134 1
22631054 1
23355746 1
23382441 1
23889594 1
24023054 1
24023056 1
24023058 1
24156517 1
24690361 1
24690363 1
25357668 1
26692283 91
27226129 1
27359591 1
27759974 1
28560741 1
28694205 1
30696124 1
30696125 1
30696127 1
33365355 2
34566505 1
36034582 1
36034584 1
36701891 1
37369196 1
38703811 1
39371116 1
41373043 3
42440729 1
44042268 1
46658112 1
53384566 4
57388411 1
58723027 1
60057635 2
62726865 2
66730708 8
66730709 1
69399939 1
72069162 2
72069163 1
73403776 2
74738398 1
80076849 1
84080696 2
85415304 1
87417221 1
88191299 1
90353384 1
90753761 1
93422985 1
93422991 3
93422995 1
94223757 1
